PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
como consegui informe de rendimentos? en viar email para caj e tramitamos para a dag., como consegui informe de rendimentos, en vir email para caj e tramitamos para a dag .
"Caro(a), servidor(a).

Sou Francisnilton Moura, advogado, inscrito na OAB/RN 8851, estou tentando baixar na aba consulta de processo  a decisão do processo de 01136/1990, requerido Cortez Pereira de Araújo Júnior e não consigo. Assim solicita-se o envio da citada decisão por email. Já falei com vocês o ano passado.
Atenciosamente.  Mossoró/RN, 09 de junho de 2021.  Francisnilton Moura OAB/RN 8851.  

R: Ao consultar esse processo verificamos que o mesmo já foi transitado e julgado e devolvido para a Prefeitura Municipal de Serra do Mel, para maiores informações, sugerimos entrar em contato com a Diretoria de Expediente através do contato telefônico 3642.7371 ou por e-mail: de.tcern@gmail.com.
"," Caro ( a ) , servidor ( a ) . Sou Francisnilton Moura , advogado , inscrito na OAB/RN 8851 , estou tentando baixar na aba consulta de processo a decisão do processo de 01136/1990 , requerido Cortez Pereira de Araújo Júnior e não consigo . Assim solicita-se o envio da citada decisão por email . Já falei com vocês o ano passado . Atenciosamente . Mossoró/RN , 09 de junho de 2021 . Francisnilton Moura OAB/RN 8851 ."," Ao consultar esse processo verificamos que o mesmo já foi transitado e julgado e devolvido para a Prefeitura Municipal de Serra do Mel , para maiores informações , sugerimos entrar em contato com a Diretoria de Expediente através do contato telefônico 3642.7371 ou por e-mail : de.tcern @ gmail.com ."
"Não aparece tela de erro, no acesso pela área restrita apenas aparece novamente a janelinha para inserir o usuário e senha e no portal do gestor aparece em vermelho que o usuário não foi encontrado (anexos).

Meu CPF é 09875668494 - Julia de Renor Oliveira Campos

R: Ao realizar consulta em nossa base de dados verificamos que o seu cadastro é de usuário fiscalizador, o qual deve ser acessado através do link da Área Restrita disponibilizada no site do TCE, conforme print.
Segue senha que foi restaurada para utilização do seu acesso: Tce.2021#
"," Não aparece tela de erro , no acesso pela área restrita apenas aparece novamente a janelinha para inserir o usuário e senha e no portal do gestor aparece em vermelho que o usuário não foi encontrado ( anexos ) . Meu CPF é 09875668494 - Julia de menor Oliveira Campos"," Ao realizar consulta em nossa base de dados verificamos que o seu cadastro é de usuário fiscalizador , o qual deve ser acessado através do link da Área Restrita disponibilizada no site do TCE , conforme print . Segue senha que foi restaurada para utilização do seu acesso : Tce.2021 #"
"PREVIDÊNCIA DE CEARÁ MIRIM- Processo de aposentadoria foi encaminhado pelo Portal ETCE e foi negado o recebimento.

Solicitado entrar em contato com a DE para saber o motivo da negação do envio.", PREVIDÊNCIA DE CEARÁ minimo Processo de aposentadoria foi encaminhado pelo Portal ETCE e foi negado o recebimento ., Solicitado entrar em contato com a DE para saber o motivo da negação do envio .
"Memorando 311/2021 -  Gostaria do passo a passo para encerrar o vinculo de servidor ja exonerado no Sispatri


R: Com cordiais saudações, informamos que para realizar qualquer alteração de dados de usuário cadastrado no SISPATRI, é necessário acessar o sistema através do link: https://sispatri.tce.rn.gov.br/PaginasPublicas/login.aspx, e em seguida na opção Vínculo inserir no campo data da saída, a data da exoneração do servidor, para que assim o sistema compreenda sua saída do cargo. Lembrando que seus rendimentos de saída deverão ser informados e encaminhados no prazo de 30 dias, para que assim sua situação continue regular com esta Corte de Contas. Qualquer dúvida que venha a surgir entrar em contato diretamente com a Central de Atendimento ao Jurisdicionado (CAJ) deste Tribunal por meio do telefone 3642-7275 ou e-mail caj@tce.rn.gov.br.", Memorando 311/2021 - Gostaria do passo a passo para encerrar o vinculo de servidor ja exonerado no Sispatri," Com cordiais saudações , informamos que para realizar qualquer alteração de dados de usuário cadastrado no SISPATRI , é necessário acessar o sistema através do link : https : //sispatri.tce.rn.gov.br/PaginasPublicas/login.aspx , e em seguida na opção Vínculo inserir no campo data da saída , a data da exoneração do servidor , para que assim o sistema compreenda sua saída do cargo . Lembrando que seus rendimentos de saída deverão ser informados e encaminhados no prazo de 30 dias , para que assim sua situação continue regular com esta Corte de Contas . Qualquer dúvida que venha a surgir entrar em contato diretamente com a Central de Atendimento ao Jurisdicionado ( CAJ ) deste Tribunal por meio do telefone 3642-7275 ou e-mail caj @ tce.rn.gov.br ."
"7513/2016 - Duida sore processo aposentadoria

solicitado ligar para a DAP", 7513/2016 - cuida sore processo aposentadoria, solicitado ligar para a DAP
qual a ferramenta para solicitação infomração? E-sic, qual a ferramenta para solicitação informação, E-sic
"Xavier - e-sic - - 27764435000169 , ususário está tentando acessa e não consegue.             Aparentemente a senha está errada e indicamos ao usuário para recuperar a senha. "," Xavier - e-sic - - 27764435000169 , usuário está tentando acesso e não consegue .", Aparentemente a senha está errada e indicamos ao usuário para recuperar a senha .
Usuário gostaria de confirmar email do e-sic. Cláudio Gomes de Medeiros Filho CPF 011 978 904 32.          foi solicitado envio de email para abertura de chamado pois o s-sic nao possui interface para o suporte, Usuário gostaria de confirmar email do e-sic . Cláudio Gomes de Medeiros Filho CPF 011 978 904 32 ., foi solicitado envio de email para abertura de chamado pois o sósia nao possui interface para o suporte
como solicitar informações para o tribunal? por meio de consulta ou pode usar o E-sic para pedir a informação., como solicitar informações para o tribunal, por meio de consulta ou pode usar o E-sic para pedir a informação .
