Gostaria de solicitar os Dados dos Servidores (efetivos e contratos temporário) e suas Remunerações no primeiro semestre de 2021.            Favor enviar solicitação via E-SIC através do link abaixo  http://tce.rn.gov.br/SIC/Index
"Sou Luiz Batista ex vereador de Maxaranguape-Rn, veio por meio deste e-mail para solicitar a última folha de pagamento do município de Rio do fogo -Rn com o SAAE.
Desde de já agradeço           favor realizar sua solicitação via sistema SIC https://www.tce.rn.gov.br/SIC/Index.
"
Sobre a entrega de diligencia é possível fazer de forma on line  ou pessoamente?          Foi informado a usuária que é possível enviar das 2 formas .
Joana – sindlimp - Para encaminhar oficio ?              o envio do oficio deverá ser realizado pelo sistema e-tce.
Como protocolar uma defesa ? de forma on line .            pode ser feito de forma on line ou pessoalmente. Este ultimo no horário de 08:00 as 18:00
Antonio – pm afonso bezerra – recebeu citação pra apresentar defesa sobre envio do siai dp e gostaria de saber como proceder.             Foi informado ao usuário que ele poderia enviar pelo sistema online quanto efetuar a entrega fisicamente no tce.
"05/10  Ivan, É possível baixar processo no site de forma unificada?            Só é possível baixar evento a evento. Caso o processo seja bem grande, é possível solicitar ao setor de protocolo pois os mesmos possuem ferramenta que extrai todo processo de forma unificada."
Processo físico – consultar teor de decisões            3642-7372 informações sobre processos.
ILDAZIO – usuário relata que portal não identifica o certificado digital -             foi informado ao usuário que é necessário baixar o programa icp bravo Access 
"21/03 - Bom dia, estou tentando recuperar minha senha do E-TCE para fazer um peticionamento, mas não estou conseguindo. Pelo telefone funcional também não estou conseguindo contato. Aguardo solução.                       favor entrar em contato através do número 3642-7275."
